28,Jonathan Stewart*,28,RB,13,13,235,5-11,Oregon,3/21/1987,7,9,Carolina Panthers / 1st / 13th pick / 2008,$8300000
54,Shaq Thompson,21,LB,14,10,231,6-2,Washington,4/21/1994,Rook,5,Carolina Panthers / 1st / 25th pick / 2015,$1601586
31,Charles Tillman,34,LCB,12,12,196,6-1,La-Lafayette,2/23/1981,12,4,Chicago Bears / 2nd / 35th pick / 2003,$1531250
35,Mike Tolbert*+,30,fb,16,3,243,5-9,Coastal Carolina,11/23/1985,7,4,,$3425000
70,Trai Turner*,22,RG,16,16,310,6-3,LSU,6/14/1993,1,10,Carolina Panthers / 3rd / 92nd pick / 2014,$644950
61,Fernando Velasco,30,c,12,1,308,6-3,Georgia,2/22/1985,6,1,,$550588
14,Joe Webb,29,,16,0,220,6-4,Ala-Birmingham,11/14/1986,5,0,Minnesota Vikings / 6th / 199th pick / 2010,$665000
32,Brandon Wegher,25,,1,0,215,5-10,Morningside,12/9/1990,Rook,0,,$435833
43,Fozzy Whittaker,26,rb,15,1,202,5-10,Texas,2/2/1989,3,2,,$635000
60,Daryl Williams,23,,10,2,334,6-5,Oklahoma,8/31/1992,Rook,2,Carolina Panthers / 4th / 102nd pick / 2015,$574280
21,Teddy Williams,27,,16,0,198,6-3,Texas-San Antonio,7/3/1988,4,1,,$790000
